Tanggal,Jam,PosX,PosY,PersenRusak,GramHilang,Filename
2026-08-16,17:33:40,800,0,0.0,0.0,scan_20260816_173340_pos_800_0.jpg
2026-08-16,17:33:40,1200,0,0.0,0.0,scan_20260816_173340_pos_1200_0.jpg
2026-08-16,17:33:40,1600,0,0.0,0.0,scan_20260816_173340_pos_1600_0.jpg
2026-08-16,17:33:40,2000,0,0.0,0.0,scan_20260816_173340_pos_2000_0.jpg
2026-08-16,17:33:40,0,400,0.0,0.0,scan_20260816_173340_pos_0_400.jpg
2026-08-16,17:33:40,400,400,0.0,0.0,scan_20260816_173340_pos_400_400.jpg
2026-08-16,17:33:40,800,400,0.0,0.0,scan_20260816_173340_pos_800_400.jpg
2026-08-16,17:33:40,1200,400,0.0,0.0,scan_20260816_173340_pos_1200_400.jpg
2026-08-16,17:33:40,1600,400,0.0,0.0,scan_20260816_173340_pos_1600_400.jpg
2026-08-16,17:33:40,2000,400,0.0,0.0,scan_20260816_173340_pos_2000_400.jpg
2026-08-16,17:33:40,0,800,0.0,0.0,scan_20260816_173340_pos_0_800.jpg
2026-08-16,17:33:40,400,800,0.0,0.0,scan_20260816_173340_pos_400_800.jpg
2026-08-16,17:33:40,800,800,0.0,0.0,scan_20260816_173340_pos_800_800.jpg
2026-08-16,17:33:40,1200,800,0.0,0.0,scan_20260816_173340_pos_1200_800.jpg
2026-08-16,17:33:40,1600,800,0.0,0.0,scan_20260816_173340_pos_1600_800.jpg
2026-08-16,17:33:40,2000,800,0.0,0.0,scan_20260816_173340_pos_2000_800.jpg
2026-08-16,17:33:40,0,1200,0.0,0.0,scan_20260816_173340_pos_0_1200.jpg
2026-08-16,17:33:40,400,1200,0.0,0.0,scan_20260816_173340_pos_400_1200.jpg
2026-08-16,17:33:40,800,1200,0.0,0.0,scan_20260816_173340_pos_800_1200.jpg
2026-08-16,17:33:40,1200,1200,0.0,0.0,scan_20260816_173340_pos_1200_1200.jpg
2026-08-16,17:33:40,1600,1200,0.0,0.0,scan_20260816_173340_pos_1600_1200.jpg
2026-08-16,17:33:40,2000,1200,0.0,0.0,scan_20260816_173340_pos_2000_1200.jpg
2026-08-16,17:39:31,0,0,0.0,0.0,scan_20260816_173931_pos_0_0.jpg
2026-08-16,17:39:31,400,0,0.0,0.0,scan_20260816_173931_pos_400_0.jpg
2026-08-16,17:39:31,800,0,0.0,0.0,scan_20260816_173931_pos_800_0.jpg
2026-08-16,17:39:31,1200,0,0.0,0.0,scan_20260816_173931_pos_1200_0.jpg
2026-08-16,17:39:31,1600,0,0.0,0.0,scan_20260816_173931_pos_1600_0.jpg
2026-08-16,17:39:31,2000,0,0.0,0.0,scan_20260816_173931_pos_2000_0.jpg
2026-08-16,17:39:31,0,400,0.0,0.0,scan_20260816_173931_pos_0_400.jpg
2026-08-16,17:39:31,400,400,0.0,0.0,scan_20260816_173931_pos_400_400.jpg
2026-08-16,17:39:31,800,400,0.0,0.0,scan_20260816_173931_pos_800_400.jpg
2026-08-16,17:39:31,1200,400,0.0,0.0,scan_20260816_173931_pos_1200_400.jpg
2026-08-16,17:39:31,1600,400,0.0,0.0,scan_20260816_173931_pos_1600_400.jpg
2026-08-16,17:39:31,2000,400,0.0,0.0,scan_20260816_173931_pos_2000_400.jpg
2026-08-16,17:39:31,0,800,0.0,0.0,scan_20260816_173931_pos_0_800.jpg
2026-08-16,17:39:31,400,800,0.0,0.0,scan_20260816_173931_pos_400_800.jpg
2026-08-16,17:39:31,800,800,0.0,0.0,scan_20260816_173931_pos_800_800.jpg
2026-08-16,17:39:31,1200,800,0.0,0.0,scan_20260816_173931_pos_1200_800.jpg
2026-08-16,17:39:31,1600,800,0.01,0.01,scan_20260816_173931_pos_1600_800.jpg
2026-08-16,17:39:31,2000,800,0.01,0.01,scan_20260816_173931_pos_2000_800.jpg
2026-08-16,17:39:31,0,1200,0.0,0.0,scan_20260816_173931_pos_0_1200.jpg
2026-08-16,17:39:31,400,1200,0.0,0.0,scan_20260816_173931_pos_400_1200.jpg
2026-08-16,17:39:31,800,1200,0.0,0.0,scan_20260816_173931_pos_800_1200.jpg
2026-08-16,17:39:31,1200,1200,0.0,0.0,scan_20260816_173931_pos_1200_1200.jpg
2026-08-16,17:39:31,1600,1200,0.01,0.01,scan_20260816_173931_pos_1600_1200.jpg
2026-08-16,17:39:31,2000,1200,0.01,0.01,scan_20260816_173931_pos_2000_1200.jpg
2026-08-16,17:45:36,0,0,0.0,0.0,scan_20260816_174536_pos_0_0.jpg
2026-08-16,17:45:36,400,0,0.0,0.0,scan_20260816_174536_pos_400_0.jpg
2026-08-16,17:45:36,800,0,0.0,0.0,scan_20260816_174536_pos_800_0.jpg
2026-08-16,17:45:36,1200,0,0.0,0.0,scan_20260816_174536_pos_1200_0.jpg
2026-08-16,17:45:36,1600,0,0.0,0.0,scan_20260816_174536_pos_1600_0.jpg
2026-08-16,17:45:36,2000,0,0.0,0.0,scan_20260816_174536_pos_2000_0.jpg
2026-08-16,17:45:36,0,400,0.0,0.0,scan_20260816_174536_pos_0_400.jpg
2026-08-16,17:45:36,400,400,0.0,0.0,scan_20260816_174536_pos_400_400.jpg
2026-08-16,17:45:36,800,400,0.0,0.0,scan_20260816_174536_pos_800_400.jpg
2026-08-16,17:45:36,1200,400,0.0,0.0,scan_20260816_174536_pos_1200_400.jpg
2026-08-16,17:45:36,1600,400,0.0,0.0,scan_20260816_174536_pos_1600_400.jpg
2026-08-16,17:45:36,2000,400,0.0,0.0,scan_20260816_174536_pos_2000_400.jpg
2026-08-16,17:45:36,0,800,0.0,0.0,scan_20260816_174536_pos_0_800.jpg
